samaccountname,displayname,givenname,description,password
spsetup,spsetup,spsetup,SharePoint Setup Account,DevPassword123
spfarm,spfarm,spfarm,SharePoint Farm Account,DevPassword123
spservice,spservice,spservice,SharePoint Service Account,DevPassword123
spportalapppool,spportalapppool,spportalapppool,SharePoint Portal App Pool Account,DevPassword123
spmysiteapppool,spmysiteapppool,spmysiteapppool,SharePoint MySite App Pool Account,DevPassword123
spentsearchservice,spentsearchservice,spentsearchservice,SharePoint Enterprise Search Service Account,DevPassword123
spsuperuser,spsuperuser,spsuperuser,SharePoint SuperUser Object Cache User Account,DevPassword123
spsuperreader,spsuperreader,spsuperreader,SharePoint SuperReader Object Cache User Account,DevPassword123
spupssynch,spupssynch,spupssynch,SharePoint User Profile Service Application Sync User Account,DevPassword123
spentsearchcontent,spentsearchcontent,spentsearchcontent,SharePoint Enterprise Search Service Content Access Account,DevPassword123
spexcelservice,spexcelservice,spexcelservice,SharePoint Excel Services Service Account,DevPassword123
spvisioservice,spvisioservice,spvisioservice,SharePoint Visio Graphics Service Account,DevPassword123
spperfpointservice,spperfpointservice,spperfpointservice,SharePoint Performance Point Service,DevPassword123
spsecstoreservice,spsecstoreservice,spsecstoreservice,SharePoint Secure Store Service Account,DevPassword123
spsqlservice,spsqlservice,spsqlservice,SharePoint SQL Server Service Account,DevPassword123
